title,filename,size_bytes,caption
Arizona State University,arizona_state_university_logo.webp,11 KB ,For a Computer Engineering bachelors degree. 
Estrella Community College,estrella_community_college_logo.webp,20 KB ,For my general first year credits for my bachelors degree and extra time for side projects. 
University of Toronto,university_of_toronto_logo2.webp,40 KB ,My masters in Computer engineering in Canada. 
Laurier University ,laurier_university_logo.webp,53 KB ,Other option for my masters in computer engineering also in Canada.
Northern Arizona University ,northern_arizona_university_logo.webp,23 KB ,Other option for a Computer Engineering bachelors degree but in a snowy place. 
University of British Colombia ,university_of_british_columbia_logo2.webp,6 KB ,Top university in Canada for a degree in Architecture and Civil Engineering. 
University of Texas at Austin,university_of_texas_at_austin_logo2.webp,27 KB ,One of the top universities for technical degrees and also where my aunt lives. 
University of Waterloo,university_of_waterloo_logo2.webp,6 KB ,"One of the top universites for technical degrees in Ontario, Canada but difficult to get into. "
Mcgill University ,mcgill_university_logo.webp,15 KB ,"Wild card university for engineering in Canada, more known for medical degrees."
G. Narayanamma Institute of Technology and Sciences,GNITS_Hyderabad_logo2.webp,25 KB ,A college for computer science and engineering in India where majoirty of my family lives.
